IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.218.208.61,8080,80,false,ORD,North America,Chicago,219,0.00
34.220.156.191,2096,80,false,ORD,North America,Chicago,228,0.00
35.89.245.216,443,80,false,ORD,North America,Chicago,234,0.00
34.218.208.61,8443,80,false,ORD,North America,Chicago,210,0.00
34.220.156.191,8443,80,false,ORD,North America,Chicago,247,0.00
34.220.156.191,80,80,false,ORD,North America,Chicago,204,0.00
18.246.213.48,2095,80,false,ORD,North America,Chicago,226,0.00
35.87.18.238,80,80,false,ORD,North America,Chicago,206,0.00
34.220.156.191,8880,80,false,ORD,North America,Chicago,226,0.00
34.219.214.215,2096,80,false,ORD,North America,Chicago,204,0.00
54.71.180.5,2095,80,false,ORD,North America,Chicago,212,0.00
35.93.29.243,2096,80,false,ORD,North America,Chicago,247,0.00
35.93.29.243,80,80,false,ORD,North America,Chicago,236,0.00
18.171.227.126,8443,80,false,ORD,North America,Chicago,253,0.00
54.71.180.5,2082,80,false,ORD,North America,Chicago,212,0.00
18.134.236.231,80,80,false,ORD,North America,Chicago,327,0.00
3.8.164.47,2053,80,false,ORD,North America,Chicago,253,0.00
13.40.14.189,2053,80,false,ORD,North America,Chicago,244,0.00
13.40.14.189,8080,80,false,ORD,North America,Chicago,320,0.00
13.40.14.189,2082,80,false,ORD,North America,Chicago,244,0.00
13.40.14.189,2083,80,false,ORD,North America,Chicago,254,0.00
34.217.44.70,80,80,false,ORD,North America,Chicago,228,0.00
18.171.227.126,2095,80,false,ORD,North America,Chicago,252,0.00
18.171.227.126,2086,80,false,ORD,North America,Chicago,252,0.00
13.40.14.189,80,80,false,ORD,North America,Chicago,244,0.00
13.232.147.113,2052,80,false,ORD,North America,Chicago,56,0.00
13.40.144.76,80,80,false,ORD,North America,Chicago,323,0.00
13.40.144.76,443,80,false,ORD,North America,Chicago,253,0.00
13.40.144.76,2082,80,false,ORD,North America,Chicago,252,0.00
13.40.144.76,2096,80,false,ORD,North America,Chicago,318,0.00
13.40.144.76,2053,80,false,ORD,North America,Chicago,252,0.00
13.40.144.76,2087,80,false,ORD,North America,Chicago,253,0.00
13.40.144.76,8880,80,false,ORD,North America,Chicago,322,0.00
13.40.144.76,2052,80,false,ORD,North America,Chicago,244,0.00
13.40.144.76,2086,80,false,ORD,North America,Chicago,252,0.00
3.8.89.242,2053,80,false,ORD,North America,Chicago,252,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2052,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2095,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.250.131.37,443,443,true,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2083,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2086,80,false,SIN,Asia Pacific,Singapore,1,0.00
3.108.0.17,2096,80,false,BOM,Asia Pacific,Mumbai,49,0.00
3.108.0.17,2082,80,false,BOM,Asia Pacific,Mumbai,55,0.00
13.126.254.121,80,8080,false,BOM,Asia Pacific,Mumbai,55,0.00
3.108.0.17,2087,80,false,BOM,Asia Pacific,Mumbai,57,0.00
3.108.0.17,2052,80,false,BOM,Asia Pacific,Mumbai,58,0.00
3.108.0.17,2053,80,false,BOM,Asia Pacific,Mumbai,63,0.00
3.108.0.17,2083,80,false,BOM,Asia Pacific,Mumbai,64,0.00
3.108.0.17,2086,80,false,BOM,Asia Pacific,Mumbai,64,0.00
3.108.0.17,2095,80,false,BOM,Asia Pacific,Mumbai,68,0.00
13.230.34.30,80,80,false,NRT,Asia Pacific,Tokyo,70,0.00
15.165.63.136,2095,80,false,ICN,Asia Pacific,Seoul,71,0.00
15.165.63.136,2052,80,false,ICN,Asia Pacific,Seoul,72,0.00
15.165.63.136,2053,80,false,ICN,Asia Pacific,Seoul,73,0.00
13.125.218.78,443,443,true,ICN,Asia Pacific,Seoul,76,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,Tokyo,78,0.00
13.237.94.188,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.237.223.44,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2096,80,false,SYD,Oceania,Sydney,93,0.00
3.105.185.150,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.54.81.122,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2083,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2052,80,false,SYD,Oceania,Sydney,94,0.00
13.238.235.196,2053,80,false,SYD,Oceania,Sydney,94,0.00
13.54.173.154,2086,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2082,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2096,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2053,80,false,SYD,Oceania,Sydney,94,0.00
13.55.238.1,2053,80,false,SYD,Oceania,Sydney,94,0.00
13.237.94.188,2052,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2095,80,false,SYD,Oceania,Sydney,94,0.00
13.54.173.154,2083,80,false,SYD,Oceania,Sydney,94,0.00
13.55.238.1,2052,80,false,SYD,Oceania,Sydney,94,0.00
13.54.173.154,2087,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2087,80,false,SYD,Oceania,Sydney,94,0.00
13.238.235.196,2095,80,false,SYD,Oceania,Sydney,94,0.00
13.54.173.154,2082,80,false,SYD,Oceania,Sydney,94,0.00
13.238.235.196,2086,80,false,SYD,Oceania,Sydney,94,0.00
13.54.173.154,2052,80,false,SYD,Oceania,Sydney,94,0.00
13.55.238.1,2096,80,false,SYD,Oceania,Sydney,95,0.00
13.237.94.188,2083,80,false,SYD,Oceania,Sydney,96,0.00
13.55.59.224,2083,80,false,SYD,Oceania,Sydney,96,0.00
3.105.185.150,2053,80,false,SYD,Oceania,Sydney,120,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,Seoul,194,0.00
54.68.88.54,80,8080,false,SEA,North America,Seattle,207,0.00
50.112.212.129,80,8080,false,SEA,North America,Seattle,222,0.00
18.246.213.48,443,80,false,ORD,North America,Chicago,225,0.00
52.33.1.91,8080,80,false,SEA,North America,Seattle,225,0.00
34.217.44.70,8880,80,false,ORD,North America,Chicago,227,0.00
15.236.116.199,2052,80,false,CDG,Europe,Paris,243,0.00
15.160.15.101,2086,80,false,MXP,Europe,Milan,247,0.00
15.161.186.110,2052,80,false,MXP,Europe,Milan,247,0.00
15.161.74.249,2052,80,false,MXP,Europe,Milan,247,0.00
15.161.216.233,2087,80,false,MXP,Europe,Milan,248,0.00
15.160.250.170,2087,80,false,MXP,Europe,Milan,248,0.00
15.161.216.233,2095,80,false,MXP,Europe,Milan,248,0.00
15.161.215.18,2087,80,false,MXP,Europe,Milan,248,0.00
15.160.14.66,2083,80,false,MXP,Europe,Milan,248,0.00
15.161.216.233,2052,80,false,MXP,Europe,Milan,248,0.00
15.161.216.233,2053,80,false,MXP,Europe,Milan,248,0.00
15.161.40.69,2087,80,false,MXP,Europe,Milan,249,0.00
15.161.215.18,2095,80,false,MXP,Europe,Milan,249,0.00
15.236.116.199,2082,80,false,CDG,Europe,Paris,251,0.00
51.44.25.47,8080,80,false,CDG,Europe,Paris,252,0.00
13.40.144.76,2083,80,false,ORD,North America,Chicago,252,0.00
3.120.76.162,2053,80,false,FRA,Europe,Frankfurt,255,0.00
3.120.76.162,2095,80,false,FRA,Europe,Frankfurt,255,0.00
52.58.111.48,80,80,false,FRA,Europe,Frankfurt,255,0.00
3.120.76.162,2086,80,false,FRA,Europe,Frankfurt,255,0.00
3.120.76.162,2087,80,false,FRA,Europe,Frankfurt,256,0.00
15.161.216.233,2096,80,false,MXP,Europe,Milan,256,0.00
15.161.186.110,2083,80,false,MXP,Europe,Milan,256,0.00
15.161.186.110,2086,80,false,MXP,Europe,Milan,256,0.00
15.161.186.110,2082,80,false,MXP,Europe,Milan,256,0.00
15.161.186.110,2095,80,false,MXP,Europe,Milan,256,0.00
15.160.250.170,2095,80,false,MXP,Europe,Milan,256,0.00
15.160.80.28,2087,80,false,MXP,Europe,Milan,256,0.00
15.161.186.110,2096,80,false,MXP,Europe,Milan,257,0.00
15.161.186.110,2087,80,false,MXP,Europe,Milan,257,0.00
15.160.80.28,2052,80,false,MXP,Europe,Milan,257,0.00
15.161.215.18,2086,80,false,MXP,Europe,Milan,257,0.00
15.161.186.110,2053,80,false,MXP,Europe,Milan,257,0.00
52.57.229.96,80,80,false,FRA,Europe,Frankfurt,257,0.00
15.161.215.18,2053,80,false,MXP,Europe,Milan,259,0.00
15.161.215.18,2082,80,false,MXP,Europe,Milan,261,0.00
15.222.2.245,443,443,false,YUL,North America,Montréal,265,0.00
13.53.47.110,2083,80,false,ARN,Europe,Stockholm,272,0.00
13.49.119.167,2087,80,false,ARN,Europe,Stockholm,272,0.00
13.48.140.41,2052,80,false,CPH,Europe,Copenhagen,272,0.00
13.53.47.110,2053,80,false,CPH,Europe,Copenhagen,273,0.00
13.48.140.41,2083,80,false,ARN,Europe,Stockholm,273,0.00
13.48.36.215,2095,80,false,CPH,Europe,Copenhagen,273,0.00
13.51.138.200,2053,80,false,OSL,Europe,Oslo,273,0.00
13.49.119.167,2086,80,false,CPH,Europe,Copenhagen,273,0.00
13.48.140.41,2082,80,false,CPH,Europe,Copenhagen,273,0.00
13.49.119.167,2052,80,false,ARN,Europe,Stockholm,273,0.00
13.49.6.192,2053,80,false,OSL,Europe,Oslo,273,0.00
13.48.140.41,2096,80,false,ARN,Europe,Stockholm,273,0.00
13.48.36.215,2096,80,false,ARN,Europe,Stockholm,278,0.00
13.49.6.192,2087,80,false,ARN,Europe,Stockholm,280,0.00
13.53.47.110,2087,80,false,CPH,Europe,Copenhagen,280,0.00
13.49.119.167,2082,80,false,ARN,Europe,Stockholm,281,0.00
13.49.119.167,2083,80,false,ARN,Europe,Stockholm,281,0.00
13.48.140.41,2087,80,false,CPH,Europe,Copenhagen,281,0.00
13.48.36.215,2086,80,false,OSL,Europe,Oslo,281,0.00
13.48.36.215,2052,80,false,ARN,Europe,Stockholm,281,0.00
13.53.47.110,2095,80,false,ARN,Europe,Stockholm,281,0.00
13.49.119.167,2095,80,false,ARN,Europe,Stockholm,282,0.00
13.49.6.192,2095,80,false,CPH,Europe,Copenhagen,282,0.00
13.51.138.200,2083,80,false,ARN,Europe,Stockholm,282,0.00
13.51.138.200,2086,80,false,OSL,Europe,Oslo,282,0.00
13.48.36.215,2087,80,false,ARN,Europe,Stockholm,283,0.00
13.37.32.97,8443,443,true,CDG,Europe,Paris,318,0.00
15.236.116.199,2096,80,false,CDG,Europe,Paris,322,0.00
13.37.106.51,443,443,true,CDG,Europe,Paris,324,0.00
15.161.215.18,2096,80,false,MXP,Europe,Milan,325,0.00
15.160.15.255,2083,80,false,MXP,Europe,Milan,327,0.00
15.236.116.199,2083,80,false,CDG,Europe,Paris,327,0.00
15.161.216.233,2086,80,false,MXP,Europe,Milan,327,0.00
15.160.15.101,2053,80,false,MXP,Europe,Milan,327,0.00
